period,demand,n_days,ramadan_days,holiday_days,weekend_days,period_ts,holiday_weekday_days,year,month,quarter,ramadan_pct,holiday_pct,weekend_pct,working_days,month_idx,var_Coklat,var_Moca,var_Original (Putih),var_Strawberry,month_sin,month_cos,variant,lag_1m,lag_2m,lag_3m,rolling_avg_3m,growth_rate,share_pct,share_lag_1m,share_change,total_demand_lag_1m,lag_12m,share_peak_sm,share_min_sm,share_mean_sm,share_range_sm,demand_peak_sm,demand_mean_sm
2023-04,3893,30,21,3,10,2023-04-01,1.0,2023,4,2,0.7,0.1,0.3333333333333333,19.0,3,1,0,0,0,0.8660254037844387,-0.4999999999999998,Coklat,28012.0,35495.0,39507.0,34338.0,-0.8610238469227474,45.399416909621,44.96596892256325,0.4334479870577468,62296.0,,,,,,,
2023-05,47449,31,0,2,8,2023-05-01,2.0,2023,5,2,0.0,0.064516129032258,0.2580645161290322,21.0,4,1,0,0,0,0.4999999999999999,-0.8660254037844387,Coklat,3893.0,28012.0,35495.0,22466.666666666668,11.188286668379142,50.73402833466988,45.399416909621,5.334611425048884,8575.0,,,,,,,
2023-06,47484,30,0,3,8,2023-06-01,2.0,2023,6,2,0.0,0.1,0.2666666666666666,20.0,5,1,0,0,0,1.2246467991473532e-16,-1.0,Coklat,47449.0,3893.0,28012.0,26451.33333333333,0.00073763409134,54.09247804244558,50.73402833466988,3.358449707775698,93525.0,,,,,,,
2023-07,48654,31,0,1,10,2023-07-01,1.0,2023,7,3,0.0,0.032258064516129,0.3225806451612903,20.0,6,1,0,0,0,-0.4999999999999997,-0.8660254037844388,Coklat,47484.0,47449.0,3893.0,32942.0,0.0246398786959818,53.61972250079899,54.09247804244558,-0.4727555416465847,87783.0,,,,,,,
2023-08,42649,31,0,1,8,2023-08-01,1.0,2023,8,3,0.0,0.032258064516129,0.2580645161290322,22.0,7,1,0,0,0,-0.8660254037844385,-0.5000000000000004,Coklat,48654.0,47484.0,47449.0,47862.333333333336,-0.1234225346323015,43.96260256463118,53.61972250079899,-9.65711993616781,90739.0,,,,,,,
2023-09,39739,30,0,1,9,2023-09-01,1.0,2023,9,3,0.0,0.0333333333333333,0.3,20.0,8,1,0,0,0,-1.0,-1.8369701987210294e-16,Coklat,42649.0,48654.0,47484.0,46262.333333333336,-0.0682313770545616,42.97362473370605,43.96260256463118,-0.9889778309251298,97012.0,,,,,,,
2023-10,42490,31,0,0,9,2023-10-01,0.0,2023,10,4,0.0,0.0,0.2903225806451613,22.0,9,1,0,0,0,-0.8660254037844386,0.5000000000000001,Coklat,39739.0,42649.0,48654.0,43680.66666666666,0.0692267042451999,45.66558476452507,42.97362473370605,2.6919600308190184,92473.0,,,,,,,
2023-11,40862,30,0,0,8,2023-11-01,0.0,2023,11,4,0.0,0.0,0.2666666666666666,22.0,10,1,0,0,0,-0.5000000000000004,0.8660254037844384,Coklat,42490.0,39739.0,42649.0,41626.0,-0.0383148976229701,43.75180684190803,45.66558476452507,-1.913777922617044,93046.0,,,,,,,
2023-12,30556,31,0,1,10,2023-12-01,1.0,2023,12,4,0.0,0.032258064516129,0.3225806451612903,20.0,11,1,0,0,0,-2.4492935982947064e-16,1.0,Coklat,40862.0,42490.0,39739.0,41030.333333333336,-0.2522147716705006,38.88026466471561,43.75180684190803,-4.871542177192417,93395.0,,,,,,,
2024-01,39468,31,0,1,8,2024-01-01,1.0,2024,1,1,0.0,0.032258064516129,0.2580645161290322,22.0,12,1,0,0,0,0.4999999999999999,0.8660254037844387,Coklat,30556.0,40862.0,42490.0,37969.333333333336,0.2916612122005497,44.213922434073446,38.88026466471561,5.333657769357835,78590.0,39507.0,48.85549990725283,48.85549990725283,48.85549990725283,0.0,39507.0,39507.0
2024-02,36549,29,0,3,8,2024-02-01,2.0,2024,2,1,0.0,0.1034482758620689,0.2758620689655172,19.0,13,1,0,0,0,0.8660254037844386,0.5000000000000001,Coklat,39468.0,30556.0,40862.0,36962.0,-0.0739586500456065,45.65885468718769,44.213922434073446,1.4449322531142457,89266.0,35495.0,44.90139277175494,44.90139277175494,44.90139277175494,0.0,35495.0,35495.0
2024-03,12772,31,21,3,10,2024-03-01,2.0,2024,3,1,0.6774193548387096,0.0967741935483871,0.3225806451612903,19.0,14,1,0,0,0,1.0,6.123233995736766e-17,Coklat,36549.0,39468.0,30556.0,35524.333333333336,-0.6505513146734521,48.16351157704201,45.65885468718769,2.504656889854317,80048.0,28012.0,44.96596892256325,44.96596892256325,44.96596892256325,0.0,28012.0,28012.0
2024-04,19344,30,9,2,8,2024-04-01,2.0,2024,4,2,0.3,0.0666666666666666,0.2666666666666666,20.0,15,1,0,0,0,0.8660254037844387,-0.4999999999999998,Coklat,12772.0,36549.0,39468.0,29596.33333333333,0.5145631067961165,46.5234854133096,48.16351157704201,-1.6400261637324078,26518.0,3893.0,45.399416909621,45.399416909621,45.399416909621,0.0,3893.0,3893.0
2024-05,41543,31,0,3,8,2024-05-01,3.0,2024,5,2,0.0,0.0967741935483871,0.2580645161290322,20.0,16,1,0,0,0,0.4999999999999999,-0.8660254037844387,Coklat,19344.0,12772.0,36549.0,22888.33333333333,1.1475909842845329,49.421239843443296,46.5234854133096,2.897754430133695,41579.0,47449.0,50.73402833466988,50.73402833466988,50.73402833466988,0.0,47449.0,47449.0
2024-06,34322,30,0,2,10,2024-06-01,1.0,2024,6,2,0.0,0.0666666666666666,0.3333333333333333,19.0,17,1,0,0,0,1.2246467991473532e-16,-1.0,Coklat,41543.0,19344.0,12772.0,24553.0,-0.1738198974556484,43.14953106534912,49.421239843443296,-6.2717087780941725,84059.0,47484.0,54.09247804244558,54.09247804244558,54.09247804244558,0.0,47484.0,47484.0
2024-07,37447,31,0,1,8,2024-07-01,0.0,2024,7,3,0.0,0.032258064516129,0.2580645161290322,23.0,18,1,0,0,0,-0.4999999999999997,-0.8660254037844388,Coklat,34322.0,41543.0,19344.0,31736.33333333333,0.0910494726414543,41.71531057837982,43.14953106534912,-1.434220486969302,79542.0,48654.0,53.61972250079899,53.61972250079899,53.61972250079899,0.0,48654.0,48654.0
2024-08,44591,31,0,1,9,2024-08-01,0.0,2024,8,3,0.0,0.032258064516129,0.2903225806451613,22.0,19,1,0,0,0,-0.8660254037844385,-0.5000000000000004,Coklat,37447.0,34322.0,41543.0,37770.66666666666,0.1907762971666622,47.6970306349478,41.71531057837982,5.98172005656798,89768.0,42649.0,43.96260256463118,43.96260256463118,43.96260256463118,0.0,42649.0,42649.0
2024-09,31308,30,0,1,9,2024-09-01,1.0,2024,9,3,0.0,0.0333333333333333,0.3,20.0,20,1,0,0,0,-1.0,-1.8369701987210294e-16,Coklat,44591.0,37447.0,34322.0,38786.66666666666,-0.2978852234755892,37.03248089706892,47.6970306349478,-10.664549737878886,93488.0,39739.0,42.97362473370605,42.97362473370605,42.97362473370605,0.0,39739.0,39739.0
2024-10,37513,31,0,0,8,2024-10-01,0.0,2024,10,4,0.0,0.0,0.2580645161290322,23.0,21,1,0,0,0,-0.8660254037844386,0.5000000000000001,Coklat,31308.0,44591.0,37447.0,37782.0,0.1981921553596524,40.84781567141426,37.03248089706892,3.815334774345345,84542.0,42490.0,45.66558476452507,45.66558476452507,45.66558476452507,0.0,42490.0,42490.0
2024-11,38475,30,0,1,9,2024-11-01,1.0,2024,11,4,0.0,0.0333333333333333,0.3,20.0,22,1,0,0,0,-0.5000000000000004,0.8660254037844384,Coklat,37513.0,31308.0,44591.0,37804.0,0.02564444325967,47.9660404173887,40.84781567141426,7.118224745974437,91836.0,40862.0,43.75180684190803,43.75180684190803,43.75180684190803,0.0,40862.0,40862.0
2024-12,39788,31,0,1,9,2024-12-01,1.0,2024,12,4,0.0,0.032258064516129,0.2903225806451613,21.0,23,1,0,0,0,-2.4492935982947064e-16,1.0,Coklat,38475.0,37513.0,31308.0,35765.333333333336,0.0341260558804419,51.5562235986213,47.9660404173887,3.590183181232604,80213.0,30556.0,38.88026466471561,38.88026466471561,38.88026466471561,0.0,30556.0,30556.0
2025-01,39254,31,0,3,8,2025-01-01,3.0,2025,1,1,0.0,0.0967741935483871,0.2580645161290322,20.0,24,1,0,0,0,0.4999999999999999,0.8660254037844387,Coklat,39788.0,38475.0,37513.0,38592.0,-0.0134211319995978,49.98471960474711,51.5562235986213,-1.5715039938741953,77174.0,39468.0,48.85549990725283,44.213922434073446,46.53471117066314,4.641577473179382,39507.0,39487.5
2025-02,42283,28,1,0,8,2025-02-01,0.0,2025,2,1,0.0357142857142857,0.0,0.2857142857142857,20.0,25,1,0,0,0,0.8660254037844386,0.5000000000000001,Coklat,39254.0,39788.0,38475.0,39172.333333333336,0.0771641106638814,52.427124276202406,49.98471960474711,2.4424046714553,78532.0,36549.0,45.65885468718769,44.90139277175494,45.28012372947131,0.7574619154327493,36549.0,36022.0
2025-03,37,31,30,2,10,2025-03-01,1.0,2025,3,1,0.967741935483871,0.064516129032258,0.3225806451612903,20.0,26,1,0,0,0,1.0,6.123233995736766e-17,Coklat,42283.0,39254.0,39788.0,40441.66666666666,-0.999124943830854,100.0,52.427124276202406,47.5728757237976,80651.0,12772.0,48.16351157704201,44.96596892256325,46.56474024980263,3.1975426544787595,28012.0,20392.0
2025-04,32123,30,0,3,8,2025-04-01,2.0,2025,4,2,0.0,0.1,0.2666666666666666,20.0,27,1,0,0,0,0.8660254037844387,-0.4999999999999998,Coklat,37.0,42283.0,39254.0,27191.33333333333,867.1891891891892,51.490719071586575,100.0,-48.50928092841343,37.0,19344.0,46.5234854133096,45.399416909621,45.9614511614653,1.124068503688605,19344.0,11618.5
2025-05,35302,31,0,3,9,2025-05-01,3.0,2025,5,2,0.0,0.0967741935483871,0.2903225806451613,19.0,28,1,0,0,0,0.4999999999999999,-0.8660254037844387,Coklat,32123.0,37.0,42283.0,24814.33333333333,0.098963359586589,51.38648306380006,51.490719071586575,-0.1042360077865183,62386.0,41543.0,50.73402833466988,49.421239843443296,50.07763408905659,1.312788491226584,47449.0,44496.0
2025-06,29711,30,0,3,9,2025-06-01,2.0,2025,6,2,0.0,0.1,0.3,19.0,29,1,0,0,0,1.2246467991473532e-16,-1.0,Coklat,35302.0,32123.0,37.0,22487.33333333333,-0.1583762959605688,47.23229047437365,51.38648306380006,-4.154192589426408,68699.0,34322.0,54.09247804244558,43.14953106534912,48.62100455389735,10.942946977096454,47484.0,40903.0
2025-07,40399,31,0,0,8,2025-07-01,0.0,2025,7,3,0.0,0.0,0.2580645161290322,23.0,30,1,0,0,0,-0.4999999999999997,-0.8660254037844388,Coklat,29711.0,35302.0,32123.0,32378.666666666668,0.359732085759483,48.7822254422508,47.23229047437365,1.5499349678771497,62904.0,37447.0,53.61972250079899,41.71531057837982,47.66751653958941,11.904411922419172,48654.0,43050.5
2025-08,40093,31,0,1,10,2025-08-01,0.0,2025,8,3,0.0,0.032258064516129,0.3225806451612903,21.0,31,1,0,0,0,-0.8660254037844385,-0.5000000000000004,Coklat,40399.0,29711.0,35302.0,35137.333333333336,-0.0075744449120027,48.46363988008896,48.7822254422508,-0.3185855621618358,82815.0,44591.0,47.6970306349478,43.96260256463118,45.829816599789496,3.7344280703166177,44591.0,43620.0
2025-09,36377,30,0,1,8,2025-09-01,1.0,2025,9,3,0.0,0.0333333333333333,0.2666666666666666,21.0,32,1,0,0,0,-1.0,-1.8369701987210294e-16,Coklat,40093.0,40399.0,29711.0,36734.333333333336,-0.0926845085176963,45.79063971199114,48.46363988008896,-2.673000168097822,82728.0,31308.0,42.97362473370605,37.03248089706892,40.00305281538749,5.9411438366371385,39739.0,35523.5
2025-10,38048,31,0,0,8,2025-10-01,0.0,2025,10,4,0.0,0.0,0.2580645161290322,23.0,33,1,0,0,0,-0.8660254037844386,0.5000000000000001,Coklat,36377.0,40093.0,40399.0,38956.333333333336,0.0459356186601425,45.19408941891956,45.79063971199114,-0.59655029307158,79442.0,37513.0,45.66558476452507,40.84781567141426,43.25670021796967,4.817769093110812,42490.0,40001.5
